The program mdatom performs a MD-run for a collection of atoms, using:
  1. Data characterizing the md-run
  2. Atomic coordinates and velocities


Data characterizing the MD-run:
# Title
Test 5, 1000 atoms
#                 NumberAtoms                 AtomicMass                     MDType
                         1000                          1                          0
#                  BoxSize(x)                 BoxSize(y)                 BoxSize(z)
                       10.436                     10.436                     10.436
#               NumberMDSteps                InitialTime                   TimeStep
                         1500                         10                      0.005
#          InitialTemperature          TargetTemperature    TemperatureCouplingTime
                            0                     120.27                        0.1
#                  RandomSeed
                     10021988
#            XVInitialization  CoordInitializationSpread              FinalXVOutput
                            3                          0                          1
#          NAtomsOnBoxEdge(x)         NAtomsOnBoxEdge(y)         NAtomsOnBoxEdge(z)
                           10                         10                         10
#                   EpsilonLJ                    SigmaLJ    InteractionCutoffRadius
                            1                          1                        2.5
#    PropertyPrintingInterval    NumberRadialDistrPoints    RadialDistrCutoffRadius
                            1                        100                        2.5
#            TrajectoryOutput     TrajectoryOutputFormat   TrajectoryOutputInterval
                            0                          2                          5


Atomic coordinates and velocities:

Sample input file
 The initial temperature is: 138.346


Starting MD iterations...

           STEP           TIME        E-TOTAL      E-KINETIC    E-POTENTIAL         VIRIAL       PRESSURE        SCALE-T
            185          10.92       -3597.74        1678.04       -5275.78       -6281.44        4.66865              1
            186         10.925       -3597.78        1680.73       -5278.51       -6263.91        4.65994              1
            187          10.93       -3597.81        1688.46       -5286.27       -6208.22        4.63181              1
            188         10.935       -3597.91        1700.05       -5297.96       -6122.28        4.58821              1
            189          10.94       -3597.97        1713.77       -5311.74       -6018.61        4.53544              1
            190         10.945        -3598.4        1727.72       -5326.12       -5909.67        4.47973              1
            191          10.95       -3598.35        1740.35        -5338.7       -5809.33        4.42828              1
            192         10.955       -3598.12        1750.83       -5348.95       -5723.14        4.38388              1
            193          10.96       -3597.94        1759.06          -5357       -5651.99        4.34697              1
            194         10.965        -3598.1        1765.48       -5363.58       -5592.62        4.31591              1
            195          10.97       -3597.92        1770.82       -5368.74       -5542.52        4.28966              1
            196         10.975       -3598.11        1775.69        -5373.8        -5495.9        4.26517              1
            197          10.98        -3598.2        1780.12       -5378.32       -5454.26        4.24334              1
            198         10.985        -3598.2        1783.42       -5381.62        -5422.4        4.22659              1
            199          10.99       -3598.18        1784.75       -5382.93       -5406.03        4.21777              1
            200         10.995       -3597.84        1783.76       -5381.59       -5408.43        4.21859              1


           STEP           TIME        E-TOTAL      E-KINETIC    E-POTENTIAL         VIRIAL       PRESSURE        SCALE-T

            201             11          -3598        1780.82       -5378.82       -5424.38        4.22623              1
            202         11.005       -3597.68         1776.7       -5374.38       -5451.35        4.23963              1
            203          11.01        -3597.4        1772.24       -5369.64       -5481.73        4.25483              1
            204         11.015       -3596.81        1768.24       -5365.06       -5510.63        4.26944              1
            205          11.02        -3596.6        1765.22       -5361.82       -5532.37        4.28042              1
            206         11.025       -3596.91         1762.9       -5359.81        -5548.1        4.28828              1
            207          11.03       -3596.79        1760.24       -5357.02        -5567.8        4.29828              1
            208         11.035       -3596.71        1756.11       -5352.82       -5597.71         4.3134              1
            209          11.04       -3596.84        1750.07       -5346.92       -5640.54        4.33498              1
            210         11.045       -3596.79        1742.62       -5339.41       -5694.22        4.36209              1
            211          11.05       -3597.06        1734.75       -5331.81       -5750.24        4.39034              1
            212         11.055       -3596.61        1727.32       -5323.93       -5805.58        4.41844              1
            213          11.06       -3596.55        1720.93       -5317.48       -5852.38        4.44214              1
            214         11.065       -3596.19        1716.47       -5312.65       -5886.29        4.45941              1
            215          11.07       -3595.96        1715.15       -5311.11       -5897.27        4.46508              1
            216         11.075       -3596.01        1717.82       -5313.83       -5879.16        4.45603              1
            217          11.08       -3596.28        1723.86       -5320.14       -5836.35        4.43446              1
            218         11.085       -3596.63        1731.16       -5327.78       -5783.86        4.40795              1
            219          11.09       -3596.33        1737.44       -5333.77       -5739.54        4.38564              1
            220         11.095       -3596.32        1741.76       -5338.08       -5707.33        4.36928              1
            221           11.1       -3595.98        1744.72       -5340.69       -5685.27        4.35807              1
            222         11.105       -3596.15        1747.58       -5343.73        -5662.5         4.3464              1
            223          11.11       -3595.79        1751.47       -5347.26       -5634.92         4.3325              1
            224         11.115       -3595.57        1757.05       -5352.62       -5596.32        4.31314              1
            225          11.12        -3595.9        1764.34       -5360.24       -5545.68         4.2877              1
            226         11.125       -3596.12         1772.2       -5368.33       -5492.87        4.26134              1
            227          11.13       -3596.29        1778.63       -5374.92       -5451.73        4.24098              1
            228         11.135       -3596.16           1782       -5378.16       -5434.19        4.23267              1
            229          11.14       -3595.99        1782.04       -5378.03       -5441.32        4.23688              1
            230         11.145       -3595.19        1779.78       -5374.96       -5468.01         4.2512              1
            231          11.15       -3595.56        1776.65       -5372.21       -5498.98        4.26753              1
            232         11.155       -3595.86        1773.71       -5369.57       -5530.54        4.28432              1
            233          11.16       -3596.07        1771.26       -5367.34       -5560.39        4.30039              1
            234         11.165       -3595.84        1768.99       -5364.82       -5591.32         4.3172              1
            235          11.17       -3595.72        1766.42       -5362.14       -5624.32        4.33505              1
            236         11.175       -3595.42        1763.31       -5358.73       -5661.62        4.35511              1
            237          11.18       -3595.11        1759.75       -5354.86       -5701.59        4.37646              1
            238         11.185       -3595.25        1756.18       -5351.43       -5739.43        4.39657              1
            239          11.19       -3595.53        1753.24       -5348.77       -5771.45        4.41362              1
            240         11.195       -3595.57        1751.34       -5346.92       -5795.44        4.42658              1
            241           11.2       -3595.68        1750.35       -5346.03       -5811.25        4.43527              1
            242         11.205       -3595.63        1749.46       -5345.08       -5824.59        4.44257              1
            243          11.21       -3595.66        1748.13       -5343.79       -5838.33        4.44985              1
            244         11.215       -3595.61        1747.24       -5342.85       -5847.12        4.45449              1
            245          11.22       -3595.25        1748.96       -5344.21       -5836.89        4.44949              1
            246         11.225       -3595.17        1754.44       -5349.61       -5798.09        4.42995              1
            247          11.23       -3595.51        1762.38       -5357.89       -5739.56        4.40027              1
            248         11.235       -3595.82        1770.39       -5366.21       -5679.26         4.3696              1
            249          11.24        -3596.5        1776.48       -5372.98       -5629.89        4.34422              1
            250         11.245       -3596.66         1779.1       -5375.75       -5605.18        4.33126              1
            251          11.25        -3596.5        1777.11       -5373.61       -5612.48        4.33438              1
            252         11.255       -3596.59        1770.43       -5367.02       -5651.01        4.35306              1
            253          11.26       -3596.58        1760.46       -5357.04       -5712.14        4.38307              1
            254         11.265       -3596.18        1749.95       -5346.13       -5778.05        4.41556              1
            255          11.27        -3596.1        1741.72       -5337.82       -5827.34        4.43965              1
            256         11.275       -3596.05        1737.04       -5333.09       -5852.36        4.45158              1
            257          11.28       -3596.11        1735.07       -5331.17       -5858.81        4.45421              1
            258         11.285       -3596.25        1733.97       -5330.22       -5859.63        4.45404              1
            259          11.29       -3596.48        1732.35       -5328.83       -5864.53        4.45597              1
            260         11.295       -3596.17        1729.84       -5326.01       -5878.29        4.46257              1
            261           11.3       -3596.29        1726.95       -5323.24       -5894.75        4.47052              1
            262         11.305       -3596.18         1724.7       -5320.88       -5908.89         4.4775              1
            263          11.31       -3595.88        1724.02        -5319.9       -5914.19        4.48021              1
            264         11.315       -3596.18        1725.02        -5321.2       -5907.17        4.47668              1
            265          11.32       -3596.58        1727.03       -5323.61       -5893.68        4.46994              1
            266         11.325       -3596.48        1729.15       -5325.63        -5881.4        4.46398              1
            267          11.33       -3596.55        1730.74       -5327.29       -5872.43        4.45966              1
            268         11.335       -3596.87        1731.53       -5328.39       -5868.46        4.45779              1
            269          11.34       -3596.95        1731.39       -5328.34       -5871.53        4.45951              1
            270         11.345       -3596.78         1730.4       -5327.18        -5881.1        4.46454              1
            271          11.35       -3596.65        1728.79       -5325.43        -5894.6        4.47151              1
            272         11.355       -3596.49        1726.82       -5323.31       -5910.14        4.47947              1
            273          11.36       -3596.43        1724.66       -5321.09       -5926.16        4.48761              1
            274         11.365          -3596        1722.33       -5318.33       -5943.98        4.49669              1
            275          11.37       -3596.47        1719.82       -5316.28       -5960.01        4.50462              1
            276         11.375       -3596.24        1717.24       -5313.48       -5978.32        4.51385              1
            277          11.38       -3596.18        1714.91       -5311.09        -5994.5        4.52197              1
            278         11.385       -3596.16        1713.08       -5309.24       -6007.24        4.52837              1
            279          11.39       -3596.54        1711.74       -5308.27       -6015.59        4.53248              1
            280         11.395       -3596.44        1710.73       -5307.17       -6023.04        4.53626              1
            281           11.4       -3596.47        1710.16       -5306.63       -6026.91        4.53819              1
            282         11.405       -3596.34        1710.66          -5307       -6023.55        4.53651              1
            283          11.41       -3596.48        1713.03       -5309.51       -6005.97         4.5276              1
            284         11.415       -3596.96        1717.45       -5314.41        -5972.6        4.51061              1
            285          11.42       -3597.14        1723.07        -5320.2       -5931.02        4.48952              1
            286         11.425       -3597.05        1728.43       -5325.48       -5890.97        4.46917              1
            287          11.43       -3597.23        1732.34       -5329.57       -5858.91        4.45266              1
            288         11.435       -3597.11        1734.52       -5331.63       -5838.45        4.44194              1
            289          11.44       -3596.91        1735.56       -5332.47        -5824.9         4.4346              1
            290         11.445        -3596.6        1736.51       -5333.11       -5811.19        4.42712              1
